No.,Quantity,Designator,Value,Manufacturer Part,Footprint,Comment,Secondary Category,Manufacturer,Supplier Part,Supplier,Primary Category
38,7,"R42,R43,R46,R47,R52,R53,R54",10k?,0402WGD1002TCE,R0402,10k?,Chip Resistor - Surface Mount,UNI-ROYAL(??),C407753,LCSC,Resistors
39,1,R55,68k?,AC0402DR-0768KL,R0402,68k?,Chip Resistor - Surface Mount,YAGEO(??),C226729,LCSC,Resistors
40,1,R56,13k?,FRC0603F1302TS,R0603,13k?,Chip Resistor - Surface Mount,FOJAN(??),C2906992,LCSC,Resistors
41,5,"R58,R59,R60,R61,R62",1k?,0402WGF1001TCE,R0402,1k?,Chip Resistor - Surface Mount,UNI-ROYAL(??),C11702,LCSC,Resistors
42,2,"R63,R64",120?,0402WGF1200TCE,R0402,120?,Chip Resistor - Surface Mount,UNI-ROYAL(??),C25079,LCSC,Resistors
43,1,R65,5k?,RT0603BRE075KL,R0603,5k?,Chip Resistor - Surface Mount,YAGEO(??),C862232,LCSC,Resistors
44,2,"TP8,TP17",,RH-5008,TESTPOINT-TH_BD3.2-D1.6,RH-5008,Test Points / Test Rings,??,C5277087,LCSC,Connectors
45,2,"TP9,TP16",,RH-5119,TESTPOINT_TH_BD2.5-D1.2,RH-5119,Test Points / Test Rings,??,C5199809,LCSC,Connectors
46,3,"TP10,TP18,TP22",,RH-5121,TESTPOINT-TH_BD3.2-D1.6-1,RH-5121,Test Points / Test Rings,??,C7589090,LCSC,Connectors
47,3,"TP12,TP15,TP20",,RH-5002,TESTPOINT_TH_BD2.5-D1.2,RH-5002,Test Points / Test Rings,??,C5199802,LCSC,Connectors
48,2,"TP13,TP21",,RH-5117,TESTPOINT-TH_BD3.2-D1.6,RH-5117,Test Points / Test Rings,??,C5199807,LCSC,Connectors
49,1,TP14,,RH-5115,TESTPOINT-TH_BD3.2-D1.6-1,RH-5115,Test Points / Test Rings,??,C5199805,LCSC,Connectors
50,1,TP19,,RH-5118,TESTPOINT_TH_BD2.5-D1.2,RH-5118,Test Points / Test Rings,??,C5199808,LCSC,Connectors
51,1,U1,,DRV8353SRTAT,WQFN-40_L6.0-W6.0-P0.50-TL-EP4.2,DRV8353SRTAT,Gate Drivers,TI(????),C2150480,LCSC,Motor Driver ICs
52,1,U3,,LM5069MMX-2/NOPB,VSSOP-10_L3.0-W3.0-P0.50-LS4.9-BL,LM5069MMX-2/NOPB,Surge Protection Devices (SPDs),TI(????),C2653582,LCSC,Circuit Protection
53,1,U4,330uF,RVT1H331M1010,CAP-SMD_BD10.0-L10.3-W10.3-LS11.3-FD,330uF,Aluminum Electrolytic Capacitors - SMD,ROQANG(??),C3032175,LCSC,Capacitors
54,1,U5,,AD7761BSTZ,LQFP-64_L10.0-W10.0-P0.50-LS12.0-BL,AD7761BSTZ,Analog to Digital Converters (ADC),ADI(???),C651516,LCSC,Data Acquisition
55,1,U7,,ADA4841-2YRMZ,MSOP-8_L3.0-W3.0-P0.65-LS5.0-BL,ADA4841-2YRMZ,Operational Amplifier,ADI(???),C208173,LCSC,Amplifiers/Comparators
56,1,U10,,AP64501SP-13,SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL-EP-1,AP64501SP-13,DC-DC Converters,DIODES(??),C2071517,LCSC,Power Management (PMIC)
57,1,U12,,ADR4550BRZ-R7,SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,ADR4550BRZ-R7,Voltage Reference,ADI(???),C404005,LCSC,Power Management (PMIC)
58,1,U13,,ADR4525BRZ-R7,SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,ADR4525BRZ-R7,Voltage Reference,ADI(???),C403914,LCSC,Power Management (PMIC)
59,2,"U14,U15",,AD8479ARZ-RL,SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,AD8479ARZ-RL,Precision Op Amps,ADI(???),C514265,LCSC,Amplifiers/Comparators
60,1,U16,,Arduino_UNO,ARDUINO UNO R3 FOOTPRINT,PYNQ Arduino Shield Interface,,atmega328,,,
61,1,U18,,M12-P12A-GPL M12,CONN-TH_M12-P12A-GPLM12,M12-P12A-GPL M12,Circular Connectors & Cable Connectors,CAZN(??),C19108994,LCSC,Connectors
62,2,"U20,U21",,THVD1451DR,SOIC-8_L4.9-W3.9-P1.27-LS6.0-TL,THVD1451DR,RS-485 / RS-422 ICs,TI(????),C2671319,LCSC,Interface
63,1,U22,,XDJK-0051-025,DC-IN-TH_XDJK-0051-025,XDJK-0051-025,DC Power Connectors,LX(????),C7498153,LCSC,Connectors
64,1,U25,,RH-5000,TEST-TH_BD2.54-P1.4_RED,RH-5000,Test Points / Test Rings,??,C5277086,LCSC,Connectors
65,3,"U26,U27,U28",3m?,SEWF3920F3L00P9,R3920,3m?,Current Sense Resistors / Shunt Resistors,RESI(????),C5224160,LCSC,Resistors
66,2,"U29,U30",,RH-5009,TESTPOINT-TH_BD3.2-D1.6-1,RH-5009,Test Points / Test Rings,??,C5277088,LCSC,Connectors
,,,,,,,,,,,
